"stationID","month","year","rain"
"3050/5","November",1881,6.37
"3050/5","December",1881,4.5
"3050/5","January",1882,3.5
"3050/5","February",1882,3.25
"3050/5","March",1882,4
"3050/5","April",1882,4.13
"3050/5","May",1882,2
"3050/5","June",1882,4.5
"3050/5","July",1882,5.5
"3050/5","August",1882,3.87
"3050/5","September",1882,2
"3050/5","October",1882,3.75
"3050/5","November",1882,6.13
"3050/5","December",1882,3.37
"3050/5","January",1883,6.62
"3050/5","February",1883,3.63
"3050/5","March",1883,1
"3050/5","April",1883,2.13
"3050/5","May",1883,1.37
"3050/5","June",1883,4
"3050/5","July",1883,2.37
"3050/5","August",1883,3
"3050/5","September",1883,4.75
"3050/5","October",1883,5.25
"3050/5","November",1883,5
"3050/5","December",1883,3.13
"3050/5","January",1884,5.75
"3050/5","February",1884,2.25
"3050/5","March",1884,4
"3050/5","April",1884,1.25
"3050/5","May",1884,2.88
"3050/5","June",1884,0.75
"3050/5","July",1884,5.5
"3050/5","August",1884,1.62
"3050/5","September",1884,4.13
"3050/5","October",1884,3.37
"3050/5","November",1884,1.63
"3050/5","December",1884,5.12
"3050/5","January",1885,2.38
"3050/5","February",1885,3.87
"3050/5","March",1885,3.75
"3050/5","April",1885,1.63
"3050/5","May",1885,1.37
"3050/5","June",1885,2.38
"3050/5","July",1885,2.12
"3050/5","August",1885,2.75
"3050/5","September",1885,5.38
"3050/5","October",1885,3.5
"3050/5","November",1885,3.5
"3050/5","December",1885,1.62
"3050/5","January",1886,4.75
"3050/5","February",1886,1.25
"3050/5","March",1886,4.13
"3050/5","April",1886,3.12
"3050/5","May",1886,4.38
"3050/5","June",1886,1.62
"3050/5","July",1886,5.5
"3050/5","August",1886,2
"3050/5","September",1886,6.63
"3050/5","October",1886,5.12
"3050/5","November",1886,4.13
"3050/5","December",1886,5.62
"3050/5","January",1887,3
"3050/5","February",1887,2.25
"3050/5","March",1887,2.5
"3050/5","April",1887,1.88
"3050/5","May",1887,1.62
"3050/5","June",1887,0.38
"3050/5","July",1887,2.37
"3050/5","August",1887,2.25
"3050/5","September",1887,4.38
"3050/5","October",1887,2
"3050/5","November",1887,2.87
"3050/5","December",1887,3
"3050/5","January",1888,1.5
"3050/5","February",1888,1
"3050/5","March",1888,3.13
"3050/5","April",1888,1.87
"3050/5","May",1888,1.25
"3050/5","June",1888,1.75
"3050/5","July",1888,6
"3050/5","August",1888,3
"3050/5","September",1888,2.13
"3050/5","October",1888,3
"3050/5","November",1888,4.37
"3050/5","December",1888,3.25
"3050/5","January",1889,2.75
"3050/5","February",1889,2.25
"3050/5","March",1889,3.38
"3050/5","April",1889,2.12
"3050/5","May",1889,3.38
"3050/5","June",1889,1
"3050/5","July",1889,2.5
"3050/5","August",1889,5.75
"3050/5","September",1889,2.87
"3050/5","October",1889,4.75
"3050/5","November",1889,2
"3050/5","December",1889,3
"3050/5","January",1890,7.25
"3050/5","February",1890,0.88
"3050/5","March",1890,4.12
"3050/5","April",1890,1.38
"3050/5","May",1890,2.37
"3050/5","June",1890,3.25
"3050/5","July",1890,4.5
"3050/5","August",1890,6.75
"3050/5","September",1890,5.38
"3050/5","October",1890,3.62
"3050/5","November",1890,6.38
"3050/5","December",1890,0.62
"3050/5","January",1891,2.5
"3050/5","February",1891,0.25
"3050/5","March",1891,1.88
"3050/5","April",1891,1.87
"3050/5","May",1891,2
"3050/5","June",1891,1.13
"3050/5","July",1891,2.25
"3050/5","August",1891,11.62
"3050/5","September",1891,6.75
"3050/5","October",1891,4.38
"3050/5","November",1891,4.87
"3050/5","December",1891,6.25
"3050/5","January",1892,3.5
"3050/5","February",1892,1.25
"3050/5","March",1892,1
"3050/5","April",1892,1.88
"3050/5","May",1892,5.62
"3050/5","June",1892,3.25
"3050/5","July",1892,1.5
"3050/5","August",1892,7
"3050/5","September",1892,7.75
"3050/5","October",1892,4.88
"3050/5","November",1892,3.37
"3050/5","December",1892,3.13
"3050/5","January",1893,1.38
"3050/5","February",1893,5.37
"3050/5","March",1893,1.38
"3050/5","April",1893,0.37
"3050/5","May",1893,2.38
"3050/5","June",1893,1.75
"3050/5","July",1893,3.75
"3050/5","August",1893,4.12
"3050/5","September",1893,4.63
"3050/5","October",1893,6.75
"3050/5","November",1893,2.25
"3050/5","December",1893,4
"3050/5","January",1894,3.63
"3050/5","February",1894,5
"3050/5","March",1894,3.5
"3050/5","April",1894,1.5
"3050/5","May",1894,3
"3050/5","June",1894,3.12
"3050/5","July",1894,3.13
"3050/5","August",1894,4.5
"3050/5","September",1894,0.62
"3050/5","October",1894,4.13
"3050/5","November",1894,4
"3050/5","December",1894,4.12
"3050/5","January",1895,2
"3050/5","February",1895,0.25
"3050/5","March",1895,4.13
"3050/5","April",1895,2.5
"3050/5","May",1895,0.5
"3050/5","June",1895,2.5
"3050/5","July",1895,7.62
"3050/5","August",1895,4.63
"3050/5","September",1895,1
"3050/5","October",1895,5
"3050/5","November",1895,3
"3050/5","December",1895,4
"3050/5","January",1896,2.88
"3050/5","February",1896,1.87
"3050/5","March",1896,5.75
"3050/5","April",1896,2.38
"3050/5","May",1896,0.5
"3050/5","June",1896,3.12
"3050/5","July",1896,4.38
"3050/5","August",1896,3.12
"3050/5","September",1896,5.25
"3050/5","October",1896,4
"3050/5","November",1896,1.63
"3050/5","December",1896,6.37
"3050/5","January",1897,0.88
"3050/5","February",1897,2.75
"3050/5","March",1897,5.75
"3050/5","April",1897,2.62
"3050/5","May",1897,2
"3050/5","June",1897,3.5
"3050/5","July",1897,1.38
"3050/5","August",1897,5
"3050/5","September",1897,4.25
"3050/5","October",1897,2
"3050/5","November",1897,5.5
"3050/5","December",1897,6.12
"3050/5","January",1898,4.63
"3050/5","February",1898,3.37
"3050/5","March",1898,1.25
"3050/5","April",1898,2.88
"3050/5","May",1898,2.5
"3050/5","June",1898,3.12
"3050/5","July",1898,0.63
"3050/5","August",1898,6.5
"3050/5","September",1898,1.87
"3050/5","October",1898,4.13
"3050/5","November",1898,4.5
"3050/5","December",1898,4.87
"3050/5","January",1899,5.5
"3050/5","February",1899,2.38
"3050/5","March",1899,1.75
"3050/5","April",1899,4.25
"3050/5","May",1899,3
"3050/5","June",1899,2
"3050/5","July",1899,1.87
"3050/5","August",1899,2.25
"3050/5","September",1899,4.75
"3050/5","October",1899,3.38
"3050/5","November",1899,3
"3050/5","December",1899,3.5
"3050/5","January",1900,4.5
"3050/5","February",1900,4.13
"3050/5","March",1900,0.5
"3050/5","April",1900,2.37
"3050/5","May",1900,2.13
"3050/5","June",1900,2.75
"3050/5","July",1900,2.62
"3050/5","August",1900,5.63
"3050/5","September",1900,2.25
"3050/5","October",1900,6.87
"3050/5","November",1900,3.75
"3050/5","December",1900,5.88
"RR1669","January",1852,5.43
"RR1669","February",1852,3
"RR1669","March",1852,0.13
"RR1669","April",1852,1.01
"RR1669","May",1852,2.83
"RR1669","June",1852,2.72
"RR1669","July",1852,3.51
"RR1669","August",1852,6.95
"RR1669","September",1852,2.83
"RR1669","October",1852,4.35
"RR1669","November",1852,6.64
"RR1669","December",1852,9.2
"RR1669","January",1853,3.95
"RR1669","February",1853,1.32
"RR1669","March",1853,0.75
"RR1669","April",1853,3.45
"RR1669","May",1853,0.6
"RR1669","June",1853,3.5
"RR1669","July",1853,6.92
"RR1669","August",1853,2.83
"RR1669","September",1853,3.12
"RR1669","October",1853,4.72
"RR1669","November",1853,2.18
"RR1669","December",1853,0.35
"RR1669","January",1854,3.84
"RR1669","February",1854,2.45
"RR1669","March",1854,2.32
"RR1669","April",1854,0.94
"RR1669","May",1854,2.52
"RR1669","June",1854,4.35
"RR1669","July",1854,3.04
"RR1669","August",1854,4.62
"RR1669","September",1854,2.84
"RR1669","October",1854,3.96
"RR1669","November",1854,3.07
"RR1669","December",1854,5.68
"RR1669","January",1855,0.63
"RR1669","February",1855,0.86
"RR1669","March",1855,2.82
"RR1669","April",1855,1.18
"RR1669","May",1855,1.63
"RR1669","June",1855,4.97
"RR1669","July",1855,2.82
"RR1669","August",1855,2.49
"RR1669","September",1855,2.02
"RR1669","October",1855,6.36
"RR1669","November",1855,2.13
"RR1669","December",1855,2.12
"RR1669","January",1856,2.72
"RR1669","February",1856,4.03
"RR1669","March",1856,0.36
"RR1669","April",1856,2.73
"RR1669","May",1856,1.75
"RR1669","June",1856,4.56
"RR1669","July",1856,3.48
"RR1669","August",1856,4.85
"RR1669","September",1856,3.47
"RR1669","October",1856,1.93
"RR1669","November",1856,1.44
"RR1669","December",1856,3.87
"RR1669","January",1857,2.93
"RR1669","February",1857,3.27
"RR1669","March",1857,2.81
"RR1669","April",1857,1.56
"RR1669","May",1857,2.33
"RR1669","June",1857,3.74
"RR1669","July",1857,1.88
"RR1669","August",1857,3.14
"RR1669","September",1857,2.83
"RR1669","October",1857,2.57
"RR1669","November",1857,2.42
"RR1669","December",1857,2.94
"RR1669","January",1858,2.14
"RR1669","February",1858,0.08
"RR1669","March",1858,2.43
"RR1669","April",1858,3.02
"RR1669","May",1858,3.16
"RR1669","June",1858,1.48
"RR1669","July",1858,3.54
"RR1669","August",1858,3.06
"RR1669","September",1858,5.61
"RR1669","October",1858,5.69
"RR1669","November",1858,1.91
"RR1669","December",1858,3.7
"RR1669","January",1859,4.1
"RR1669","February",1859,2.75
"RR1669","March",1859,4.71
"RR1669","April",1859,3.21
"RR1669","May",1859,0.22
"RR1669","June",1859,1.76
"RR1669","July",1859,1.85
"RR1669","August",1859,3.74
"RR1669","September",1859,5.56
"RR1669","October",1859,2.6
"RR1669","November",1859,3.5
"RR1669","December",1859,4.33
"RR1669","January",1860,5.86
"RR1669","February",1860,1.43
"RR1669","March",1860,4.19
"RR1669","April",1860,1.37
"RR1669","May",1860,2.26
"RR1669","June",1860,7.32
"RR1669","July",1860,1.07
"RR1669","August",1860,7.87
"RR1669","September",1860,2.9
"RR1669","October",1860,6.24
"RR1669","November",1860,2.37
"RR1669","December",1860,3.94
"RR1669","January",1861,1.44
"RR1669","February",1861,4.24
"RR1669","March",1861,5.76
"RR1669","April",1861,0.74
"RR1669","May",1861,1.21
"RR1669","June",1861,2.73
"RR1669","July",1861,4.36
"RR1669","August",1861,6.5
"RR1669","September",1861,4.7
"RR1669","October",1861,2.52
"RR1669","November",1861,7.63
"RR1669","December",1861,2.71
"RR1669","January",1862,3.36
"RR1669","February",1862,0.41
"RR1669","March",1862,4.34
"RR1669","April",1862,3.72
"RR1669","May",1862,3.8
"RR1669","June",1862,4.89
"RR1669","July",1862,4.15
"RR1669","August",1862,5.12
"RR1669","September",1862,2.23
"RR1669","October",1862,7.17
"RR1669","November",1862,1.94
"RR1669","December",1862,3.53
"RR1669","January",1863,5.54
"RR1669","February",1863,2.24
"RR1669","March",1863,1.47
"RR1669","April",1863,2.63
"RR1669","May",1863,3.33
"RR1669","June",1863,5.07
"RR1669","July",1863,1.15
"RR1669","August",1863,5.24
"RR1669","September",1863,6.03
"RR1669","October",1863,7.61
"RR1669","November",1863,4.96
"RR1669","December",1863,3.61
"RR1669","January",1864,3.04
"RR1669","February",1864,3.51
"RR1669","March",1864,3.94
"RR1669","April",1864,1.93
"RR1669","May",1864,2.95
"RR1669","June",1864,4.76
"RR1669","July",1864,2.63
"RR1669","August",1864,3.38
"RR1669","September",1864,4.54
"RR1669","October",1864,2.47
"RR1669","November",1864,4.99
"RR1669","December",1864,3.79
"RR1669","January",1865,2.95
"RR1669","February",1865,3.27
"RR1669","March",1865,2.17
"RR1669","April",1865,0.97
"RR1669","May",1865,4.89
"RR1669","June",1865,0.63
"RR1669","July",1865,2.21
"RR1669","August",1865,4.82
"RR1669","September",1865,1.3
"RR1669","October",1865,5.21
"RR1669","November",1865,3.62
"RR1669","December",1865,2.32
"RR1669","January",1866,5.9
"RR1669","February",1866,4.21
"RR1669","March",1866,2.84
"RR1669","April",1866,0.85
"RR1669","May",1866,1.52
"RR1669","June",1866,4.25
"RR1669","July",1866,4.51
"RR1669","August",1866,5.19
"RR1669","September",1866,8.35
"RR1669","October",1866,2.63
"RR1669","November",1866,6.68
"RR1669","December",1866,5.78
"RR1669","January",1867,4.4
"RR1669","February",1867,3.37
"RR1669","March",1867,1.86
"RR1669","April",1867,4.15
"RR1669","May",1867,2.56
"RR1669","June",1867,1.48
"RR1669","July",1867,3.87
"RR1669","August",1867,3.28
"RR1669","September",1867,3.73
"RR1669","October",1867,4.72
"RR1669","November",1867,1.39
"RR1669","December",1867,3.53
"RR1669","January",1868,3.38
"RR1669","February",1868,3.12
"RR1669","March",1868,5.02
"RR1669","April",1868,2.61
"RR1669","May",1868,2.31
"RR1669","June",1868,0.45
"RR1669","July",1868,0.64
"RR1669","August",1868,4.98
"RR1669","September",1868,2.19
"RR1669","October",1868,5.46
"RR1669","November",1868,2.6
"RR1669","December",1868,9.54
"RR1669","January",1869,4.49
"RR1669","February",1869,5.99
"RR1669","March",1869,1.28
"RR1669","April",1869,2.93
"RR1669","May",1869,3.03
"RR1669","June",1869,2.65
"RR1669","July",1869,0.96
"RR1669","August",1869,2.53
"RR1669","September",1869,8.21
"RR1669","October",1869,3.51
"RR1669","November",1869,4.63
"RR1669","December",1869,4.69
"RR1669","January",1900,4.7
"RR1669","February",1900,4.93
"RR1669","March",1900,0.45
"RR1669","April",1900,2.04
"RR1669","May",1900,2.38
"RR1669","June",1900,3.35
"RR1669","July",1900,2.81
"RR1669","August",1900,9.67
"RR1669","September",1900,2.54
"RR1669","October",1900,11.81
"RR1669","November",1900,4.11
"RR1669","December",1900,5.2
"RR256","August",1877,6.63
"RR256","September",1877,4.18
"RR256","October",1877,6.7
"RR256","November",1877,8.88
"RR256","December",1877,4.97
"RR256","January",1878,3.99
"RR256","February",1878,1.98
"RR256","March",1878,2.28
"RR256","April",1878,1.67
"RR256","May",1878,4.36
"RR256","June",1878,3.58
"RR256","July",1878,0.94
"RR256","August",1878,5.87
"RR256","September",1878,5.84
"RR256","October",1878,5.12
"RR256","November",1878,3.47
"RR256","December",1878,2.72
"RR256","January",1879,1.3
"RR256","February",1879,3.24
"RR256","March",1879,3.03
"RR256","April",1879,1.2
"RR256","May",1879,2.35
"RR256","June",1879,4.66
"RR256","July",1879,5.38
"RR256","August",1879,6.31
"RR256","September",1879,3.65
"RR256","October",1879,3.25
"RR256","November",1879,1.32
"RR256","December",1879,2.88
"RR256","January",1880,0.48
"RR256","February",1880,4.62
"RR256","March",1880,3.2
"RR256","April",1880,2.12
"RR256","May",1880,2.53
"RR256","June",1880,4.26
"RR256","July",1880,5.72
"RR256","August",1880,2.13
"RR256","September",1880,4.17
"RR256","October",1880,1.49
"RR256","November",1880,6.41
"RR256","December",1880,6.53
"RR256","January",1881,0.47
"RR256","February",1881,4.95
"RR256","March",1881,5.2
"RR256","April",1881,1.82
"RR256","May",1881,5.15
"RR256","June",1881,5.08
"RR256","July",1881,6.52
"RR256","August",1881,7.82
"RR256","September",1881,1.71
"RR256","October",1881,3.18
"RR256","November",1881,6.57
"RR256","December",1881,4.64
"RR256","January",1882,4.15
"RR256","February",1882,4
"RR256","March",1882,5.13
"RR256","April",1882,4.33
"RR256","May",1882,2.12
"RR256","June",1882,4.74
"RR256","July",1882,6.94
"RR256","August",1882,4.41
"RR256","September",1882,2
"RR256","October",1882,3.93
"RR256","November",1882,7.38
"RR256","December",1882,3.92
"RR256","January",1883,7.56
"RR256","February",1883,5.3
"RR256","March",1883,1.65
"RR256","April",1883,2.95
"RR256","May",1883,1.77
"RR256","June",1883,5.09
"RR256","July",1883,3.01
"RR256","August",1883,3.2
"RR256","September",1883,5.02
"RR256","October",1883,7.24
"RR256","November",1883,6.19
"RR256","December",1883,4.47
"RR256","January",1884,7.54
"RR256","February",1884,3.17
"RR256","March",1884,4.25
"RR256","April",1884,1.44
"RR256","May",1884,3.54
"RR256","June",1884,0.55
"RR256","July",1884,5.35
"RR256","August",1884,1.64
"RR256","September",1884,3.66
"RR256","October",1884,4.07
"RR256","November",1884,2.15
"RR256","December",1884,6.87
"RR256","January",1885,2.97
"RR256","February",1885,4.7
"RR256","March",1885,4.98
"RR256","April",1885,2.52
"RR256","May",1885,1.67
"RR256","June",1885,3.33
"RR256","July",1885,2.57
"RR256","August",1885,3.77
"RR256","September",1885,5.97
"RR256","October",1885,4.73
"RR256","November",1885,4.18
"RR256","December",1885,2.72
"RR256","January",1886,6.76
"RR256","February",1886,1.75
"RR256","March",1886,4.54
"RR256","April",1886,3.45
"RR256","May",1886,4.31
"RR256","June",1886,1.58
"RR256","July",1886,5.98
"RR256","August",1886,2.04
"RR256","September",1886,6.4
"RR256","October",1886,6.08
"RR256","November",1886,4.53
"RR256","December",1886,6.68
"RR256","January",1887,3.38
"RR256","February",1887,3.56
"RR256","March",1887,2.84
"RR256","April",1887,2.16
"RR256","May",1887,1.93
"RR256","June",1887,0.36
"RR256","July",1887,2.89
"RR256","August",1887,2.5
"RR256","September",1887,6.1
"RR256","October",1887,1.79
"RR256","November",1887,3.46
"RR256","December",1887,3.38
"RR256","January",1888,1.86
"RR256","February",1888,1.33
"RR256","March",1888,3.99
"RR256","April",1888,2.29
"RR256","May",1888,1.79
"RR256","June",1888,1.96
"RR256","July",1888,8.56
"RR256","August",1888,4.94
"RR256","September",1888,2.84
"RR256","October",1888,3.56
"RR256","November",1888,7.15
"RR256","December",1888,4.42
"RR256","January",1889,3.96
"RR256","February",1889,3.36
"RR256","March",1889,5.59
"RR256","April",1889,2.81
"RR256","May",1889,4.19
"RR256","June",1889,1.22
"RR256","July",1889,2.55
"RR256","August",1889,7.26
"RR256","September",1889,3.78
"RR256","October",1889,5.92
"RR256","November",1889,2.47
"RR256","December",1889,4.45
"RR256","January",1890,7.01
"RR256","February",1890,0.8
"RR256","March",1890,4.46
"RR256","April",1890,1.51
"RR256","May",1890,2.25
"RR256","June",1890,3.74
"RR256","July",1890,3.9
"RR256","August",1890,7.21
"RR256","September",1890,5.7
"RR256","October",1890,4.1
"RR256","November",1890,6.58
"RR256","December",1890,0.47
"RR256","January",1891,3.03
"RR256","February",1891,0.49
"RR256","March",1891,2.24
"RR256","April",1891,1.87
"RR256","May",1891,2.58
"RR256","June",1891,1.22
"RR256","July",1891,4.48
"RR256","August",1891,11.04
"RR256","September",1891,6.78
"RR256","October",1891,5.08
"RR256","November",1891,5.48
"RR256","December",1891,7.42
"RR256","January",1892,4.36
"RR256","February",1892,2.22
"RR256","March",1892,1.03
"RR256","April",1892,1.64
"RR256","May",1892,5.19
"RR256","June",1892,3.27
"RR256","July",1892,1.47
"RR256","August",1892,7.2
"RR256","September",1892,8.82
"RR256","October",1892,4.47
"RR256","November",1892,3.48
"RR256","December",1892,2.97
"RR256","January",1893,1.86
"RR256","February",1893,5.86
"RR256","March",1893,1.67
"RR256","April",1893,0.4
"RR256","May",1893,2.14
"RR256","June",1893,1.97
"RR256","July",1893,4.49
"RR256","August",1893,3.99
"RR256","September",1893,4.92
"RR256","October",1893,6.33
"RR256","November",1893,3.46
"RR256","December",1893,4.78
"RR256","January",1894,4.77
"RR256","February",1894,6.19
"RR256","March",1894,3.38
"RR256","April",1894,1.84
"RR256","May",1894,2.56
"RR256","June",1894,3.1
"RR256","July",1894,3.89
"RR256","August",1894,5.31
"RR256","September",1894,0.56
"RR256","October",1894,4.79
"RR256","November",1894,4.28
"RR256","December",1894,4.5
"RR256","January",1895,2.57
"RR256","February",1895,0.46
"RR256","March",1895,4.6
"RR256","April",1895,3.38
"RR256","May",1895,0.91
"RR256","June",1895,3.16
"RR256","July",1895,7.02
"RR256","August",1895,5.23
"RR256","September",1895,1.18
"RR256","October",1895,5.34
"RR256","November",1895,4.24
"RR256","December",1895,4.49
"RR256","January",1896,2.89
"RR256","February",1896,2.38
"RR256","March",1896,7.07
"RR256","April",1896,2.39
"RR256","May",1896,0.51
"RR256","June",1896,3.42
"RR256","July",1896,3.71
"RR256","August",1896,2.7
"RR256","September",1896,6.19
"RR256","October",1896,3.89
"RR256","November",1896,1.44
"RR256","December",1896,5.33
"RR256","January",1897,0.64
